X1,X2,X3,X4,X5,X6,classe
2,16,33,27,19,2,1
5,23,38,33,16,8,1
-1,19,33,27,14,4,1
0,17,32,27,16,7,1
-2,21,39,32,14,2,1
0,18,37,30,15,3,1
6,17,38,29,15,7,1
5,20,40,28,19,3,1
0,17,32,26,21,5,1
80,36,19,78,97,45,2
86,38,21,75,104,53,2
88,46,14,77,99,49,2
80,42,13,71,99,53,2
15,68,81,26,27,31,3
23,61,71,23,16,27,3
25,64,74,21,22,31,3
9,68,87,22,28,32,3
99,23,27,66,64,35,4
100,18,32,66,72,38,4
89,19,40,72,59,33,4
102,10,29,75,61,36,4
101,10,31,69,64,41,4
96,19,36,67,70,35,4
93,18,31,73,61,39,4
102,18,37,66,68,36,4
18,73,66,81,83,74,5
16,76,59,76,85,64,5
17,75,58,80,88,65,5
21,80,60,82,87,67,5
22,73,65,76,83,73,5
22,83,59,79,84,67,5
15,82,59,82,83,66,5
13,78,66,78,92,67,5
23,81,62,81,90,67,5
21,79,62,82,88,74,5
18,78,66,83,83,71,5
21,79,66,78,83,71,5
